[English Term]	[Arabic Translation]	[Sentiment Score]	[Positive Occurrence Count]	[Negative Occurrence Count]
#garth	#غارث	5	5	0
#meaningful	#ذو_معنى	5	5	0
#highheels	#كعب_عالي	5	5	0
jalapeno	هالبينو	5	11	0
yachts	اليخوت	5	5	0
bodyguard	حارس	5	6	0
#newday	#يوم_جديد	5	13	0
#soothing	#مهدئ	5	17	0
#stupendous	#ملفت_للنظر	5	11	0
splenda	سبلندا	5	7	0
#tremendous	#هائل	5	13	0
#competition	#منافسة	5	10	0
flatbread	الكعكة	5	5	0
#expectations	#توقعات	5	5	0
#boyfriends	#أصدقائهن	5	5	0
#networking	#الشبكات	5	5	0
#fighter	#مقاتل	5	8	0
#swell	#تضخم	5	9	0
#bam	#بام	5	5	0
bundled	المجمعة	5	11	0
#aristotle	#أرسطو	5	6	0
#quick	#سريع	5	6	0
twinkling	طرفة عين	5	5	0
#inawe	#في_رهبة	5	8	0
#excitement	#إثارة	5	8	0
#custom	#عرف	5	5	0
necessitate	يستلزم	5	5	0
#meanttobe	#من_المفترض_أن_تكون	5	6	0
#marvel	#أعجوبة	5	7	0
#feast	#وليمة	5	5	0
amina	أمينة	5	8	0
#godlike	#إلهي	5	5	0
districts	المناطق	5	5	0
#growth	#نمو	5	14	0
yardstick	محك	5	6	0
#suitup	#دعوى_على	5	6	0
#scholarship	#منحة_دراسية	5	8	0
#writers	#الكتاب	5	11	0
#stella	#ستيلا	5	5	0
#reem	#ريم	5	8	0
truckers	سائقو الشاحنات	5	5	0
#strive	#نسعى_جاهدين	5	10	0
rotator	محور دوار	5	5	0
#champions	#بطل	5	8	0
#glamorous	#فاتن	5	16	0
#cali	#كالي	5	5	0
#character	#شخصية	5	12	0
#remarkable	#رائع	5	6	0
hur	حور	5	7	0
sourdough	خميرة متخمرة	5	7	0
#ticket	#تذكرة	5	6	0
#polite	#مهذب	5	9	0
#prince	#أمير	5	6	0
succesful	ناجحة	5	5	0
ducky	ساحر	5	5	0
#prestige	#هيبة	5	44	0
#acoustic	#صوتي	5	11	0
cranked	مكرنك	5	9	0
neurotic	العصابي	5	27	0
#creation	#خلق	5	8	0
#wild	#بري	5	9	0
#godly	#إلهي	5	6	0
pancetta	بانسيتا	5	6	0
outdid	يفوق	5	6	0
avocados	الأفوكادو	5	6	0
cheesesteak	شسستك	5	6	0
#pop	#فرقعة	5	8	0
#suspension	#تعليق	5	5	0
#driven	#مدفوع	5	6	0
avenged	انتقم	5	9	0
unwind	فك	5	6	0
asiago	أسياجو	5	8	0
#orgasm	#هزة_الجماع	5	7	0
acupuncture	الوخز بالإبر	5	6	0
faiths	الأديان	5	5	0
drugstore	صيدلية	5	5	0
#salsa	#نوع_من_السلطة	5	5	0
selamat	سلامات	5	5	0
athlone	أثلون	5	5	0
#hotness	#تكون_السبب	5	6	0
lagoon	البحيرة	5	10	0
basking	الفرح	5	5	0
#motivational	#تحفيزية	5	33	0
brownlee	براونلي	5	7	0
#parenting	#الأبوة_والأمومة	5	7	0
#network	#شبكة	5	5	0
#happyholidays	#اجازة_سعيدة	5	5	0
#poets	#الشعراء	5	6	0
#event	#حدث	5	5	0
#bloggers	#المدونين	5	6	0
#resolutions	#قرارات	5	10	0
#shellac	#اللك_المصفى	5	5	0
#satisfied	#راض	5	12	0
hep	التهاب الكبد	5	5	0
maybach	مايباخ	5	5	0
soaks	مغاطس	5	6	0
artistry	الفنية	5	5	0
fey	طفولي	5	6	0
zucchini	كوسة	5	12	0
#confident	#واثق	5	23	0
uke	مركز الجامعة الطبي	5	5	0
norah	نورة	5	19	0
#lover	#حبيب	5	5	0
rousing	مثير	5	6	0
#progression	#تقدم	5	7	0
#pinkfloyd	#بلد_المنشاء	5	6	0
attainable	سهل المنال	5	7	0
paced	يسير بخطى	5	5	0
#verygood	#جيد_جدا	5	5	0
setbacks	النكسات	5	5	0
lovelies	الحسناوات	5	9	0
#refreshed	#منتعش	5	9	0
#courage	#شجاعة	5	6	0
#subtle	#رقيق	5	5	0
draped	فوا	5	5	0
#poet	#شاعر	5	12	0
dazzling	باهر	5	12	0
#smiles	#الابتسامات	5	19	0
#sophistication	#التكلف	5	10	0
empress	إمبراطورة	5	5	0
#stepuprevolution	#تصعيد_الثورة	5	6	0
sculpting	النحت	5	5	0
#brillant	#برلنت	5	5	0
#skill	#مهارة	5	6	0
#desirable	#مرغوب_فيه	5	45	0
#sunny	#مشمس	5	28	0
rainforest	الغابات المطيرة	5	7	0
#breathtaking	#مثير	5	21	0
preparations	استعدادات	5	5	0
facials	الوجه	5	6	0
#poise	#رباطة_جأش	5	18	0
raspberries	التوت	5	16	0
tuxedos	البدلات الرسمية	5	7	0
widest	أوسع	5	8	0
mesmerising	يفتن	5	8	0
#exquisite	#رائع	5	223	0
#serene	#هادئ	5	5	0
#simplicity	#بساطة	5	9	0
eileen	ايلين	5	5	0
#ryangosling	#ريان_غوسلينغ	5	9	0
daiquiri	ديكيري	5	7	0
#soulmate	#توأم_الروح	5	6	0
swiped	تمريرها	5	5	0
meijer	ماير	5	6	0
#glamour	#سحر	5	11	0
#elegance	#أناقة	5	387	0
ringside	الصف الأول في الحلبة	5	6	0
setter	اضع	5	6	0
tannin	حمض الطنطاليك	5	6	0
#bikini	#بيكيني	5	7	0
ethos	روح الشعب	5	5	0
#adventure	#مغامرة	5	6	0
#meditation	#تأمل	5	5	0
talbot	تالبوت	5	5	0
#classy	#أنيق	5	4324	47
#owl	#بومة	5	6	0
#toasty	#دافء_بشكل_ممتع	5	6	0
#healty	#هىالتى	5	7	0
#rewards	#المكافآت	5	8	0
flan	كعكة فواكه	5	6	0
theodore	ثيودور	5	5	0
pianos	البيانو	5	7	0
#freebie	#الهدية_الترويجية	5	7	0
#models	#نماذج	5	7	0
#lovelife	#حب_الحياة	5	35	0
proverb	مثل	5	10	0
#cosmetics	#مستحضرات_التجميل	5	54	0
#perks	#اكراميات	5	5	0
gaultier	غوتييه	5	6	0
gracias	غراسياس	5	6	0
#cultured	#مثقف	5	5	0
#legends	#الأساطير	5	7	0
hackney	بتذلل	5	6	0
parkin	باركين	5	6	0
#creativity	#الإبداع	5	5	0
#dresses	#فساتين	5	7	0
#abs	#وتقاسم_المنافع	5	6	0
stairway	سلم	5	9	0
#summertime	#الصيف	5	9	0
#diamonds	#الماس	5	11	0
#humor	#فكاهة	5	6	0
#jazz	#موسيقى_الجاز	5	13	0
#priority	#أفضلية	5	7	0
#shining	#ساطع	5	16	0
#exotic	#غريب	5	8	0
poise	رباطة جأش	5	5	0
wonderfully	رائعة	5	18	0
helena	هيلينا	5	5	0
progressed	تقدم	5	6	0
#formal	#رسمي	5	5	0
#mindset	#عقلية	5	11	0
sonata	السوناتة لحن موسيقي	5	5	0
effortless	هين	5	10	0
potatos	البطاطس	5	5	0
#skiing	#التزحلق	5	8	0
#reggae	#الريغي	5	8	0
skincare	العناية بالبشرة	5	7	0
#federer	#فيدرر	5	12	0
#magical	#سحري	5	29	0
persistence	إصرار	5	6	0
blowfish	السمكة المنتفخة	5	5	0
#chic	#أناقة	5	23	0
striving	سعي	5	38	0
vaulting	واثب	5	8	0
#glorious	#مجيد	5	34	0
#grand	#كبير	5	29	0
#encouragement	#تشجيع	5	5	0
#spiritual	#روحي	5	6	0
#manicure	#مانيكير	5	5	0
#chuffed	#تشوفيد	5	5	0
preserves	معلبات	5	5	0
tempura	تمبورا	5	6	0
#manipulation	#تلاعب	5	5	0
cantona	كانتونا	5	6	0
#culture	#ثقافة	5	13	0
relieves	يخفف	5	5	0
#passionate	#عاطفي	5	6	0
#elegant	#أنيق	5	1004	0
#hisvoice	#صوته	5	21	0
#banging	#قرع	5	6	0
hennessy	هينيسي	5	9	0
astin	أوستن	5	7	0
#friendly	#ودود	5	7	0
#perf	#الأداء_الإقتصادي_الأداء	5	23	0
#extraordinary	#استثنائي	5	7	0
#intelligent	#ذكي	5	6	0
peppercorn	حب الفلفل	5	7	0
#independence	#استقلال	5	24	0
christoph	كريستوف	5	6	0
#theatre	#مسرح	5	7	0
houser	هاوزر	5	8	0
#superstar	#نجم	5	8	0
#hesthebest	#هو_الأفضل	5	5	0
zing	حيوية	5	6	0
#graceful	#رشيق	5	24	0
#radiant	#مشع	5	8	0
serenading	الغناء	5	11	0
soulful	حنون	5	6	0
#popular	#شعبي	5	6	0
#ltd	#المحدودة	5	5	0
exfoliate	قشر	5	8	0
#ballet	#رقص_الباليه	5	9	0
overcoming	التغلب	5	7	0
chocolat	شوكولا	5	6	0
stubbed	فافات	5	8	0
#clever	#ذكي	5	10	0
#sunrise	#شروق_الشمس	5	5	0
#peaceful	#سلمي	5	61	0
#drooling	#الترويل	5	5	0
#perseverance	#مثابرة	5	6	0
agave	الأغاف الأمريكي الصبار الأمريكي	5	5	0
#beatles	#البيتلز	5	5	0
chateau	قصر	5	5	0
diners	بالرواد	5	7	0
grahams	جراهام	5	7	0
#pitch	#رمية	5	7	0
#loa	#مبناها	5	5	0
#reunited	#لم_شمل	5	6	0
kasabian	كاسابيان	5	6	0
lbi	ملزم	5	5	0
brioche	بريوش	5	5	0
#phi	#فاي	5	6	0
#equestrian	#فارس	5	9	0
sunsets	غروب الشمس	5	11	0
#vision	#رؤية	5	19	0
#ty	#تاي	5	10	0
#opportunity	#فرصة	5	6	0
#helpful	#مفيد	5	8	0
#massage	#تدليك	5	7	0
argan	أركان	5	8	0
skylight	كوة	5	5	0
#gratitude	#شكر	5	14	0
marston	مارستون	5	5	0
#troublemaker	#غوغائي	5	5	0
#exceptional	#استثنائي	5	224	0
clarion	هتاف	5	6	0
#classics	#الكلاسيكية	5	9	0
serum	مصل الدم	5	6	0
#ban	#حظر	5	5	0
#vintage	#خمر	5	20	0
#audreyhepburn	#أودري_هيبورن	5	8	0
#greeneyes	#عيون_خضراء	5	5	0
#sophisticated	#راقي	5	34	0
#soawesome	#رائع_جدا	5	5	0
#dazzling	#باهر	5	86	0
blogging	المدونات	5	12	0
adornment	زينة	5	11	0
persevere	ثابر	5	6	0
#smiling	#باسم	5	8	0
#universe	#الكون	5	11	0
johann	يوهان	5	6	0
sundaes	البوظة	5	5	0
#blissful	#سعيد	5	9	0
#radical	#متطرف	5	9	0
monocle	نظارة لعين واحدة	5	8	0
#unique	#فريد_من_نوعه	5	36	0
#dreamy	#حالم	5	19	0
#sea	#بحر	5	6	0
swanky	فاخر	5	8	0
#leadership	#قيادة	5	75	0
#queens	#الملكات	5	5	0
#justin	#فقط_في	5	5	0
#righteous	#صالح	5	5	0
cornerstone	حجر الزاوية	5	6	0
#ilovemylife	#احب_حياتي	5	6	0
embody	جسد	5	5	0
#thumbsup	#ممتاز	5	7	0
kimi	كيمي	5	6	0
#astonishing	#مذهل	5	8	0
#salon	#صالون	5	14	0
werk	الشغل	5	6	0
#brains	#عقل	5	8	0
vidic	فيديتش	5	6	0
revolutionary	ثوري	5	5	0
#retro	#الرجعية	5	5	0
sacha	ساشا	5	7	0
cleanser	المطهر	5	10	0
#splendid	#رائع	5	618	0
vinci	فينشي	5	6	0
#orgasmic	#النشوة	5	13	0
effortlessly	جهد	5	6	0
aral	آرال	5	13	0
#bale	#بالة	5	6	0
#blessing	#بركة	5	6	0
#coldweather	#طقس_بارد	5	5	0
clement	معتدل	5	6	0
beatiful	الجميل	5	5	0
#majestic	#مهيب	5	22	0
#affirmations	#التأكيدات	5	5	0
#dignity	#كرامة	5	6	0
crocker	كروكر	5	6	0
yemen	اليمن	5	6	0
#lovelovelove	#حب_حب_حب	5	11	0
#newlife	#حياة_جديدة	5	6	0
#gem	#جوهرة	5	8	0
stargazing	النجوم	5	9	0
#singer	#مطرب	5	15	0
brightening	اشراق	5	5	0
slalom	تزلج متعرج	5	7	0
welldone	أحسنت	5	5	0
#giveaway	#يتبرع	5	8	0
#marvellous	#رائع	5	9	0
#mountains	#الجبال	5	8	0
covey	سرب طيور صغير	5	5	0
sprinkler	مرشة	5	8	0
#gentleman	#رجل_نبيل	5	12	0
#wellness	#العافية	5	8	0
#striving	#سعي	5	5	0
#mighty	#عظيم	5	9	0
#luxury	#ترف	5	29	0
#unf	#مؤسسة_الأمم_المتحدة	5	6	0
#abcd	#ا_ب_ت_ث	5	6	0
nico	نيكو	5	7	0
#uplifting	#النهضة	5	6	0
antebellum	ما قبل الحرب	5	5	0
afoot	على قدم وساق	5	14	0
mdg	الأهداف الإنمائية للألفية	5	11	0
#sweetheart	#حبيب	5	8	0
#pearls	#درر	5	6	0
#snuggle	#تكبب	5	5	0
#productivity	#إنتاجية	5	5	0
#thefollowing	#التالي	5	6	0
nou	نو	5	5	0
surah	سورة	5	6	0
cabernet	كبرنت	5	6	0
#encouraging	#مشجع	5	9	0
#gentlemen	#السادة	5	5	0
#calming	#تهدئة	5	8	0
omo	أومو	5	5	0
#winners	#الفائزين	5	9	0
conqueror	فاتح	5	7	0
brisket	صدر الحيوان	5	5	0
chamomile	بابونج	5	8	0
sizzling	الأزيز	5	5	0
#marvelous	#رائع	5	338	0
#spa	#منتجع	5	18	0
#transformation	#تحول	5	7	0
masseuse	مدلكة	5	8	0
saber	سيف المبارزة	5	5	0
#great	#عظيم	4.855	5493	69
#education	#التعليم	4.835	78	1
sensational	مثير	4.555	59	1
#fierce	#عنيف	4.538	58	1
#super	#السوبر	4.533	1038	18
nineteen	تسعة عشر	4.521	114	2
#makeup	#ميك_أب	4.497	167	3
#angel	#ملاك	4.251	87	2
#celebrity	#شهرة	4.216	42	1
workhard	اعمل بجد	4.216	42	1
elegance	أناقة	4.129	77	2
hosted	استضافت	4.105	188	5
imported	مستورد	3.99	67	2
#fancy	#نزوة	3.944	32	1
aristotle	أرسطو	3.944	32	1
#motivated	#الدافع	3.928	63	2
#relaxation	#استرخاء	3.912	31	1
magnificent	مهيب	3.896	61	2
#outstanding	#معلقة	3.879	30	1
#gorgeous	#رائع	3.866	148	5
#based	#تستند	3.862	59	2
#mmmm	#ش_ش_ش_ش	3.81	28	1
#incredible	#لا_يصدق	3.774	54	2
exquisite	رائع	3.774	27	1
#inspired	#موحى	3.774	27	1
#important	#مهم	3.774	27	1
#fantastic	#رائع	3.761	160	6
#positive	#إيجابي	3.708	3971	157
#sassy	#وقح	3.697	25	1
#magic	#سحر	3.697	25	1
#tasty	#لذيذ	3.697	25	1
#talented	#موهوب	3.656	48	2
#skin	#بشرة	3.613	46	2
#stay	#البقاء	3.613	46	2
#amman	#عمان	3.613	23	1
#kind	#نوع	3.569	22	1
#tradition	#التقليد	3.546	43	2
#fab	#القوات_المسلحة_البوروندية	3.546	43	2
#creative	#خلاق	3.522	21	1
#model	#نموذج	3.522	21	1
#happiness	#سعادة	3.522	84	4
#strength	#قوة	3.522	21	1
#talent	#موهبة	3.498	41	2
roaring	قاصف	3.474	20	1
#glam	#غلم	3.474	20	1
#legendary	#أسطوري	3.474	20	1
sunset	غروب	3.457	177	9
#style	#أسلوب	3.435	77	4
#sounds	#الأصوات	3.422	19	1
#bestever	#الافضل_على_الاطلاق	3.422	19	1
topper	شخص ممتاز	3.422	19	1
#spectacular	#مذهل	3.422	19	1
beautician	المجمل	3.422	19	1
#successful	#ناجح	3.422	19	1
#inspirational	#ملهمة	3.422	76	4
ritz	فندق ريتز	3.422	19	1
#ladies	#السيدات	3.396	37	2
#greatness	#عظمة	3.396	37	2
#relaxing	#مريح	3.39	92	5
fabulous	رائع	3.389	845	46
keynote	رئيسية	3.368	18	1
#inspiring	#مثير	3.368	36	2
comfiest	كومفيست	3.368	18	1
#skincare	#العناية_بالبشرة	3.368	36	2
hammock	الارجوحة الشبكية	3.368	36	2
sublime	رفيع	3.34	35	2
freshly	طازجة	3.338	227	13
#bravo	#مرحى	3.311	17	1
snowy	ثلجي البياض	3.311	170	10
ferrero	فيريرو	3.311	17	1
#community	#مجتمع	3.311	17	1
#energy	#طاقة	3.291	50	3
#passion	#شغف	3.281	33	2
muller	مولر	3.251	16	1
moscato	موسكات	3.251	32	2
parton	بارتون	3.251	32	2
#staying	#البقاء	3.251	16	1
#stylish	#أنيق	3.251	16	1
#stunning	#مذهل	3.251	48	3
sunbathing	حمامات الشمس	3.235	63	4
#focused	#ركز	3.219	31	2
#strong	#قوي	3.208	46	3
schmidt	شميت	3.186	15	1
croissants	الكرواسون	3.186	15	1
eggplant	باذنجان	3.186	15	1
#goals	#الأهداف	3.152	29	2
superb	رائع	3.152	203	14
#timeless	#أبدي	3.117	14	1
overlooking	تطل على	3.117	14	1
stunner	حلوة	3.117	14	1
#loving	#محب	3.117	14	1
#mine	#منجم	3.117	14	1
virtue	فضيلة	3.117	14	1
#tanning	#دباغة	3.117	14	1
#california	#كاليفورنيا	3.117	14	1
#werk	#الشغل	3.117	14	1
#angelic	#ملائكي	3.117	14	1
#muscles	#العضلات	3.117	14	1
thundering	مدو	3.117	14	1
winnipeg	وينيبيغ	3.06	119	9
#nature	#طبيعة	3.043	26	2
#august	#أغسطس	3.043	13	1
darter	القاذف	3.043	13	1
#fave	#فف	3.043	13	1
joyous	مبتهج	3.043	13	1
chiropractor	المعالج للأمراض يدويا	3.043	13	1
#teamwork	#العمل_الجماعي	3.043	13	1
scrumptious	شهي	3.043	13	1
lifeguards	منقذين	3.043	13	1
#dime	#الدايم	3.043	13	1
#innovative	#مبتكرة	3.043	13	1
#smooth	#ناعم	3.043	26	2
campfire	إشعال النار	3.043	26	2
perfection	كمال	3.036	271	21
#quotes	#يقتبس	3.033	103	8
#class	#فئة	3.029	141	11
#greatday	#يوم_عظيم	3.004	25	2
#takemehome	#خذنى_إلى_المنزل	2.99	37	3
#hardwork	#عمل_شاق	2.983	49	4
splendid	رائع	2.979	61	5
alpha	ألفا	2.963	12	1
skoda	سكودا	2.963	36	3
marvellous	رائع	2.963	12	1
smores	سموريس	2.963	12	1
orgasmic	النشوة	2.963	12	1
#goal	#هدف	2.963	12	1
servants	عبيد	2.963	24	2
#cream	#كريم	2.963	24	2
sprawled	ممددة	2.963	12	1
topping	إضافات	2.963	24	2
collide	تصادم	2.963	12	1
#changes	#التغييرات	2.963	12	1
#performance	#أداء	2.963	12	1
noir	نوير	2.963	12	1
natives	المواطنين	2.963	12	1
gorge	ممر ضيق	2.963	12	1
#integrity	#نزاهة	2.963	24	2
massager	مدلك	2.963	12	1
macchiato	ماكياتو	2.963	12	1
#messi	#ميسي	2.963	12	1
acoustic	صوتي	2.954	214	18
#smile	#ابتسامة	2.951	83	7
waynes	ونس	2.949	71	6
terrific	رائع	2.942	47	4
#brilliant	#متألق	2.935	105	9
#natural	#طبيعي	2.92	23	2
#tan	#أسمر	2.92	23	2
presented	مقدم	2.916	126	11
#simple	#بسيط	2.914	80	7
#business	#عمل	2.912	57	5
lively	بحيوية	2.906	34	3
chai	تشاي	2.896	101	9
#rare	#نادر	2.876	44	4
unforgettable	لا ينسى	2.876	11	1
beauties	الجمال	2.876	11	1
#wings	#أجنحة	2.876	11	1
#sublime	#رفيع	2.876	11	1
#homeland	#وطن	2.876	22	2
#sure	#بالتأكيد	2.876	11	1
toasties	تواستيس	2.876	11	1
#keeper	#حارس	2.876	11	1
brewed	يخمر	2.876	22	2
#cuddling	#الحضن	2.876	11	1
#fit	#تناسب	2.876	44	4
simplicity	بساطة	2.876	22	2
#contrast	#تباين	2.876	11	1
#shower	#دش	2.876	11	1
celebratory	محتفل	2.876	11	1
#smelling	#رائحة	2.876	11	1
#content	#محتوى	2.876	11	1
mule	بغل	2.876	11	1
tiramisu	التيراميسو	2.876	11	1
#by	#بواسطة	2.876	11	1
#slavery	#عبودية	2.876	22	2
#rad	#راد	2.876	11	1
thames	التايمز	2.876	11	1
lounging	التسكع	2.876	22	2
breezy	منسم	2.866	98	9
relaxing	مريح	2.856	302	28
#goosebumps	#صرخة_الرعب	2.829	21	2
#faith	#إيمان	2.829	84	8
chardonnay	تشاردوناي	2.829	21	2
hazelnut	بندق	2.813	31	3
fray	معركة	2.813	31	3
unchained	متحرر	2.805	41	4
pomegranate	رمان	2.805	41	4
exceptional	استثنائي	2.805	41	4
breeze	نسيم	2.802	143	14
angelina	أنجلينا	2.781	10	1
#chanel	#شانيل	2.781	10	1
cavallari	كافالاري	2.781	10	1
butterscotch	حلوى من سكر أسمر وزبدة	2.781	10	1
candlelit	على ضوء الشموع	2.781	10	1
#couture	#تصميم_أزياء	2.781	10	1
scallops	إسقلوب	2.781	10	1
chalet	الشاليه	2.781	10	1
renaissance	نهضة	2.781	10	1
#different	#مختلف	2.781	10	1
bondi	بوندي	2.781	10	1
#royalty	#ملكية	2.781	10	1
ahoy	أهوي	2.781	10	1
#actress	#ممثلة	2.781	10	1
tickles	مداعبات	2.781	10	1
crepe	كريب	2.781	20	2
wolfgang	فولفغانغ	2.781	10	1
energetic	نشيط	2.781	10	1
waltz	رقصة الفالس	2.781	20	2
downpour	هطول	2.781	10	1
jolie	جولي	2.781	10	1
angelic	ملائكي	2.781	20	2
funday	يوم ممتع	2.781	10	1
nett	صاف	2.781	10	1
hibachi	حباشي	2.781	10	1
gumbo	البامية	2.781	10	1
#retweet	#إعادة_تغريد	2.781	30	3
#happybirthday	#عيد_ميلاد_سعيد	2.781	10	1
#artist	#فنان	2.781	10	1
fearless	لا يعرف الخوف	2.781	10	1
fabolous	فابولوس	2.781	10	1
#motivation	#حافز	2.771	109	11
phenomenal	استثنائي	2.764	59	6
duet	ثنائي	2.76	49	5
#relax	#استرح	2.755	39	4
#sale	#بيع	2.747	29	3
scenery	مشهد	2.729	19	2
ballroom	قاعة رقص	2.729	19	2
#princess	#أميرة	2.729	19	2
#success	#نجاح	2.729	114	12
thunderstorms	عواصف رعدية	2.729	19	2
#posh	#أنيق	2.729	19	2
#pisces	#الحوت	2.719	47	5
surround	إحاطة	2.712	84	9
#attitude	#موقف	2.694	55	6
#yes	#نعم	2.685	200	22
#paradise	#الجنة	2.675	18	2
#alright	#حسنا	2.675	9	1
vicar	كاهن	2.675	9	1
enchiladas	الإنتشلادا	2.675	9	1
#charming	#جذاب	2.675	9	1
#neat	#أنيق	2.675	9	1
canary	كناري	2.675	9	1
philosophers	الفلاسفة	2.675	9	1
pina	بينا	2.675	9	1
basil	ريحان	2.675	18	2
ingrid	إنغريد	2.675	9	1
#tunes	#الإيقاعات	2.675	9	1
blanc	بلان	2.675	9	1
bastille	الباستيل	2.675	9	1
rudd	أرد سمك نهري	2.675	9	1
quran	القرآن الكريم	2.675	9	1
#fireworks	#ألعاب_نارية	2.675	9	1
snazzy	أنيق	2.675	9	1
velodrome	فيلودروم	2.675	9	1
sur	سور	2.675	27	3
minty	منتي	2.675	9	1
fabrics	الأقمشة	2.675	9	1
depressions	المنخفضات	2.675	9	1
#goodmorning	#صباح_الخير	2.675	45	5
#management	#إدارة	2.675	9	1
hatrick	هاتريك	2.675	9	1
#leader	#قائد	2.675	9	1
crumpet	كعكة مسطحة وغير محلاة	2.675	9	1
#indescribable	#لا_يوصف	2.675	9	1
#professional	#محترف	2.675	18	2
#something	#شيء	2.675	9	1
sofia	صوفيا	2.675	9	1
#pma	#سلطة_النقد_الفلسطينية	2.675	9	1
merlot	ميرلو	2.675	18	2
#fashion	#موضة	2.671	215	24
flawless	بلا عيب	2.656	106	12
mayer	ماير	2.653	176	20
#sexy	#جنسي	2.638	321	37
#cozy	#دافئ	2.637	26	3
#behappy	#كن_سعيدا	2.618	17	2
#caring	#رعاية	2.618	17	2
timeless	أبدي	2.618	17	2
#lovely	#جميل	2.611	76	9
garth	غارث	2.602	92	11
#cutie	#كتي	2.598	25	3
#duper	#المخادع	2.598	25	3
bubbly	شمبانيا	2.598	25	3
marvelous	رائع	2.588	33	4
#optimistic	#متفائل	2.588	33	4
#sun	#شمس	2.578	49	6
wonderful	رائع	2.575	839	103
#quote	#اقتبس	2.569	251	31
#delicious	#لذيذ	2.566	121	15
dreamy	حالم	2.557	8	1
affirmation	تأكيد	2.557	8	1
goa	غوا	2.557	8	1
aura	هالة	2.557	8	1
#gourmet	#ذواق	2.557	8	1
moonlight	ضوء القمر	2.557	16	2
graceful	رشيق	2.557	16	2
#tanned	#مدبوغ	2.557	8	1
revive	إحياء	2.557	8	1
sorbet	شربات	2.557	8	1
blissful	سعيد	2.557	8	1
#pure	#نقي	2.557	8	1
greetings	تحيات	2.557	8	1
horseback	الخيل	2.557	8	1
#icon	#رمز	2.557	8	1
pistachios	فستق	2.557	8	1
harrods	هارودز	2.557	8	1
#comfort	#راحة	2.557	8	1
#congratulations	#تهنئة	2.557	8	1
#calm	#هدوء	2.557	16	2
#comfortable	#مريح	2.557	16	2
smooch	تبادل القبل	2.557	8	1
flows	تدفقات	2.557	8	1
#flowers	#الزهور	2.557	8	1
#warmth	#دفء	2.557	8	1
#action	#عمل	2.557	8	1
#sweet	#حلو	2.557	88	11
bfast	بفاست	2.557	8	1
handmade	صناعة يدوية	2.557	8	1
vol	المجلد	2.557	16	2
#muchlove	#حب_كثير	2.557	16	2
